Price,close,High,Low,Open,Volume
Ticker,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS
Date,,,,,
2022-08-22,1415.900146484375,1467.0648149450124,1355.4645235680043,1383.2778710960758,125686
2022-08-23,1462.602783203125,1511.3875587262417,1405.9845268805338,1418.279913219596,99526
2022-08-24,1465.9739990234375,1521.9972217772224,1452.6375457397298,1478.7156606766055,39912
2022-08-25,1422.2957763671875,1482.1364860149754,1412.9750744748887,1477.4265691000592,26489
2022-08-26,1407.3726806640625,1452.6374838043005,1389.2766847054081,1431.8146939340681,23608
2022-08-29,1369.8917236328125,1412.9750187715515,1343.9623683785412,1358.439140854053,33779
2022-08-30,1427.6502685546875,1443.7135161284907,1374.304212468467,1374.304212468467,23853
2022-09-01,1471.1796875,1526.013084568887,1409.2070963462927,1437.7641147660079,63758
2022-09-02,1443.1185302734375,1502.1164353929173,1429.7324509606142,1480.4012158551836,28570
2022-09-05,1416.8917236328125,1464.238784142512,1408.0172968329462,1437.7641411322338,18133
2022-09-06,1395.374755859375,1447.679618798854,1387.1943744517787,1417.932777316686,12910
2022-09-07,1440.3917236328125,1452.6374829843996,1384.814657523024,1412.9750261111053,19972
2022-09-08,1455.116455078125,1463.54472756069,1427.9476466321662,1440.3917914783935,13877
2022-09-09,1448.0267333984375,1484.3674846008844,1432.8062894110074,1484.2187261759475,15956
2022-09-12,1453.0341796875,1497.2577963518354,1439.301077750197,1464.5362683520932,19794
2022-09-13,1449.91064453125,1486.3008991784573,1427.9475355043558,1444.2091665308708,14738
2022-09-14,1457.5953369140625,1467.1143026613763,1424.9729408798473,1432.8063005719866,5760
2022-09-15,1473.063720703125,1530.7726718637612,1452.63757828141,1468.5025620715141,34504
2022-09-16,1448.175537109375,1527.004674528201,1412.9751046770689,1475.3443457862973,47790
2022-09-19,1453.4803466796875,1494.9276642591317,1425.0720865498693,1453.331588252158,28006
2022-09-20,1584.0194091796875,1606.03202485361,1461.2145483630643,1467.3126754609073,149512
2022-09-21,1603.8009033203125,1621.153227444945,1558.7344870812783,1603.3051226310372,57939
2022-09-22,1590.3653564453125,1626.1606988397803,1561.6595812410574,1601.371663796491,30523
2022-09-23,1590.06787109375,1616.1459848917489,1556.8010580310633,1596.413888398532,27544
2022-09-26,1553.281005859375,1580.152296850048,1517.089013064056,1561.7092781541753,46685
2022-09-27,1549.7608642578125,1568.1047504246553,1512.1311569965087,1560.7176663032817,10512
2022-09-28,1527.3021240234375,1556.6523182390638,1469.8410663435109,1555.759888741112,18193
2022-09-29,1547.9266357421875,1586.0026216068131,1528.2937906371462,1531.962519776509,23602
2022-09-30,1551.0003662109375,1587.4898758584995,1531.1691372807875,1546.8358565516921,11256
2022-10-03,1529.83056640625,1576.5827132104394,1518.0805873743286,1548.818992474658,10880
2022-10-04,1564.5848388671875,1584.515199838591,1546.835864673468,1546.835864673468,9883
2022-10-06,1622.839111328125,1670.08703979259,1571.5258050265552,1571.5258050265552,49973
2022-10-07,1555.6607666015625,1638.5056522456334,1539.7957835699503,1634.9856817596233,20260
2022-10-10,1540.7376708984375,1554.7682890413878,1527.0045695942201,1554.7682890413878,9391
2022-10-11,1458.438232421875,1554.7684579635682,1445.746317634062,1554.7684579635682,20529
2022-10-12,1449.662841796875,1479.4096853357985,1396.6143041524613,1464.5362635663369,31086
2022-10-13,1453.6290283203125,1464.4370719067254,1437.863177679601,1457.4961420307075,4645
2022-10-14,1446.4898681640625,1467.411790210943,1432.8062719603965,1467.411790210943,3981
2022-10-17,1438.8052978515625,1466.0732378670518,1419.9160037156553,1432.0626315407367,4132
