SYMBOL,NAME_OF_COMPANY,P/E Ratio,Debt-to-Equity,ROE (%),Earnings Growth,Market Cap,Sector,Industry
SHRIPISTON,Shriram Pistons & Rings Limited,16.765705,22.543,,0.117,80410705920.0,Consumer Cyclical,Auto Parts
SHRIRAMFIN,Shriram Finance Limited,15.833333,296.607,,0.741,1229016399872.0,Financial Services,Credit Services
SHRIRAMPPS,Shriram Properties Limited,24.491468,41.787,,-0.296,12224531456.0,Real Estate,Real Estate - Development
SHYAMCENT,Shyam Century Ferrous Limited,,2.377,,-0.951,1733453312.0,Basic Materials,Steel
SHYAMMETL,Shyam Metalics and Energy Limited,26.458076,9.954,,0.434,238718959616.0,Basic Materials,Steel
SHYAMTEL,Shyam Telecom Limited,,,,,138508304.0,Technology,Communication Equipment
SICALLOG,Sical Logistics Limited,,404.075,,,5937668096.0,Industrials,Integrated Freight & Logistics
SIEMENS,Siemens Limited,65.66489,1.818,,0.215,1755017641984.0,Industrials,Specialty Industrial Machinery
SIGACHI,Sigachi Industries Limited,21.926966,34.691,,0.209,14925657088.0,Healthcare,Drug Manufacturers - Specialty & Generic
SIGIND,Signet Industries Limited,13.6848955,157.52,,-0.175,1546914304.0,Industrials,Conglomerates
SIGMA,Sigma Solve Limited,14.356516,10.751,,-0.078,2532769536.0,Technology,Information Technology Services
SIGNATURE,Signatureglobal (India) Limited,184.94206,360.661,,12.8,156957835264.0,Real Estate,Real Estate - Development
SIGNPOST,Signpost India Limited,27.332632,62.473,,-0.39,13878827008.0,Communication Services,Advertising Agencies
SIKKO,Sikko Industries Limited,21.959063,12.267,,-0.013,1275145344.0,Basic Materials,Agricultural Inputs
SIL,Standard Industries Limited,140.5,11.713,,,1269792896.0,Consumer Cyclical,Textile Manufacturing
SILGO,Silgo Retail Limited,63.217953,,,-0.393,912077248.0,Consumer Cyclical,Luxury Goods
SILINV,SIL Investments Limited,16.304287,,,0.241,6126020096.0,Financial Services,Asset Management
SILLYMONKS,Silly Monks Entertainment Limited,48.29032,12.407,,58.103,152863168.0,Communication Services,Entertainment
SILVERTUC,Silver Touch Technologies Limited,44.95413,28.998,,0.064,8699165696.0,Technology,Information Technology Services
SIMBHALS,Simbhaoli Sugars Limited,5.9513273,,,,555202560.0,Consumer Defensive,Confectioners
SIMPLEXINF,Simplex Infrastructures Limited,13.932123,3618.764,,,21677082624.0,Industrials,Engineering & Construction
SINCLAIR,Sinclairs Hotels Limited,29.076159,20.099,,-0.79,4528545792.0,Consumer Cyclical,Lodging
SINDHUTRAD,Sindhu Trade Links Limited,149.33334,40.181,3.4290000000000003,,27631384576.0,Industrials,Conglomerates
SINTERCOM,Sintercom India Limited,302.57498,35.299,,0.071,3331689728.0,Consumer Cyclical,Auto Parts
SIRCA,Sirca Paints India Limited,29.81776,,,0.089,14195694592.0,Basic Materials,Specialty Chemicals
SIS,SIS LIMITED,21.635363,64.437,,1.801,48225796096.0,Industrials,Security & Protection Services
SITINET,Siti Networks Limited,,,,,427306560.0,Communication Services,Entertainment
SIYSIL,Siyaram Silk Mills Limited,17.482946,21.714,,0.041,33719058432.0,Consumer Cyclical,Textile Manufacturing
SJS,S.J.S. Enterprises Limited,25.27953,3.994,,0.306,27622934528.0,Consumer Cyclical,Auto Parts
SJVN,SJVN Limited,35.546154,163.336,,0.086,363192090624.0,Utilities,Utilities - Renewable
SKFINDIA,SKF India Limited,34.71626,0.445,,-0.172,186304626688.0,Industrials,Tools & Accessories
SKIPPER,Skipper Limited,37.33977,79.442,,0.683,47985319936.0,Industrials,Engineering & Construction
SKMEGGPROD,SKM Egg Products Export (India) Limited,6.7853565,49.687,,-0.357,4636186624.0,Consumer Defensive,Packaged Foods
SKYGOLD,Sky Gold Limited,41.468353,134.799,,2.086,48058597376.0,Consumer Cyclical,Luxury Goods
SMARTLINK,Smartlink Holdings Limited,11.306354,8.14,,,1297015040.0,Technology,Communication Equipment
SMCGLOBAL,SMC Global Securities Limited,5.5334673,133.871,,-0.154,11575426048.0,Financial Services,Capital Markets
SMLISUZU,SML Isuzu Limited,19.17215,88.085,,-0.806,23192184832.0,Consumer Cyclical,Auto Manufacturers
SMLT,Sarthak Metals Limited,31.042217,,,-0.276,1610604928.0,Industrials,Metal Fabrication
SMSLIFE,SMS Lifesciences India Limited,15.89836,45.35,,0.27,3687228160.0,Healthcare,Biotechnology
SMSPHARMA,SMS Pharmaceuticals Limited,26.824808,50.633,,0.581,18607962112.0,Healthcare,Drug Manufacturers - General
SNOWMAN,Snowman Logistics Limited,195.75,76.147,,,7849794048.0,Industrials,Integrated Freight & Logistics
SOBHA,Sobha Limited,200.50505,44.071,,0.321,127340527616.0,Real Estate,Real Estate - Development
SOFTTECH,Softtech Engineers Limited,180.0,33.743,,-0.759,4970555904.0,Technology,Software - Application
SOLARA,Solara Active Pharma Sciences Limited,,77.152,,,21648715776.0,Healthcare,Drug Manufacturers - Specialty & Generic
SOLARINDS,Solar Industries India Limited,88.4416,30.728,,0.549,994223718400.0,Basic Materials,Specialty Chemicals
SOMANYCERA,Somany Ceramics Limited,25.18935,43.249,,-0.566,17456977920.0,Industrials,Building Products & Equipment
SOMATEX,Soma Textiles & Industries Limited,1.5114019,0.944,,,1347556224.0,Consumer Cyclical,Textile Manufacturing
SOMICONVEY,Somi Conveyor Beltings Limited,32.583942,19.059,,0.938,2103383168.0,Industrials,Specialty Industrial Machinery
SONACOMS,Sona BLW Precision Forgings Limited,43.002037,3.744,,0.075,262271746048.0,Consumer Cyclical,Auto Parts
SONAMLTD,SONAM LIMITED,67.08696,39.757,,0.128,1853081344.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SONATSOFTW,Sonata Software Limited,20.88694,41.559,,,89356353536.0,Technology,Information Technology Services
SOTL,Savita Oil Technologies Limited,22.086592,0.003,,-0.813,25244381184.0,Basic Materials,Specialty Chemicals
SOUTHBANK,The South Indian Bank Limited,4.5209928,,14.860999999999999,-0.044,61980147712.0,Financial Services,Banks - Regional
SOUTHWEST,South West Pinnacle Exploration Limited,33.81269,68.006,,-0.007,3342860032.0,Energy,Oil & Gas Equipment & Services
SPAL,S. P. Apparels Limited,20.17636,40.936,,0.405,18839408640.0,Consumer Cyclical,Apparel Manufacturing
SPANDANA,Spandana Sphoorty Financial Limited,,223.811,,,17185955840.0,Financial Services,Credit Services
SPARC,Sun Pharma Advanced Research Company Limited,,,,,47230926848.0,Healthcare,Drug Manufacturers - Specialty & Generic
SPCENET,Spacenet Enterprises India Limited,33.333336,0.452,,-0.714,3936576000.0,Financial Services,Capital Markets
SPECIALITY,Speciality Restaurants Limited,30.068968,42.755,,-0.314,6796242432.0,Consumer Cyclical,Restaurants
SPENCERS,Spencer's Retail Limited,,,,,5852652544.0,Consumer Cyclical,Department Stores
SPIC,Southern Petrochemicals Industries Corporation  Limited,14.818182,49.138,,0.062,16596660224.0,Basic Materials,Agricultural Inputs
SPLIL,SPL Industries Limited,8.848167,,,-0.844,980200000.0,Consumer Cyclical,Apparel Manufacturing
SPLPETRO,Supreme Petrochem Limited,27.06881,5.856,,0.053,112699817984.0,Basic Materials,Specialty Chemicals
SPMLINFRA,SPML Infra Limited,44.31387,69.732,,3.522,13026046976.0,Industrials,Engineering & Construction
SPORTKING,Sportking India Limited,11.7915,51.644,,0.179,11282722816.0,Consumer Cyclical,Textile Manufacturing
SRD,Shankar Lal Rampal Dye-Chem Limited,34.89759,9.203,,0.21,3727720192.0,Basic Materials,Specialty Chemicals
SREEL,Sreeleathers Limited,24.396643,0.611,,-0.091,5385816064.0,Consumer Cyclical,Footwear & Accessories
SRF,SRF Limited,73.97901,43.73,,0.07,846248935424.0,Industrials,Conglomerates
SRGHFL,SRG Housing Finance Limited,18.062782,274.809,,0.056,5006066688.0,Financial Services,Mortgage Finance
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,10.035339,1.519,,0.296,8530047488.0,Basic Materials,Chemicals
SRM,SRM Contractors Limited,19.752565,15.692,,1.992,7509636608.0,Industrials,Engineering & Construction
SRPL,Shree Ram Proteins Limited,,110.022,,,280173600.0,Consumer Defensive,Farm Products
SSDL,Saraswati Saree Depot Limited,12.004273,,,-0.501,3337074944.0,Consumer Cyclical,Apparel Retail
SSWL,Steel Strips Wheels Limited,4.699517,60.532,,-0.198,30532104192.0,Consumer Cyclical,Auto Parts
STALLION,Stallion India Fluorochemicals Limited,22.926605,60.244,,0.876,5947017728.0,Basic Materials,Specialty Chemicals
STANLEY,Stanley Lifestyles Limited,57.039925,40.48,,0.143,18768121856.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
STAR,Strides Pharma Science Limited,16.693008,104.221,,0.759,57431191552.0,Healthcare,Drug Manufacturers - Specialty & Generic
STARCEMENT,Star Cement Limited,66.6079,13.8,,-0.879,88600928256.0,Basic Materials,Building Materials
STARHEALTH,Star Health and Allied Insurance Company Limited,26.267923,6.7,,-0.255,204891799552.0,Financial Services,Insurance - Diversified
STARPAPER,Star Paper Mills Limited,5.017327,0.724,,-0.478,2557295616.0,Basic Materials,Paper & Paper Products
STARTECK,Starteck Finance Limited,22.632423,104.483,,0.321,2794713088.0,Financial Services,Credit Services
STCINDIA,The State Trading Corporation of India Limited,19.093803,,,-0.884,6855153152.0,Industrials,Conglomerates
STEELCAS,Steelcast Limited,27.830545,,,1.787,17850669056.0,Basic Materials,Steel
STEELCITY,Steel City Securities Limited,8.146796,8.923,,0.698,1517508096.0,Financial Services,Capital Markets
